146,146
171,175
214,125
166,240
181,127
181,146
21,263
103,184
103,103
103,188
96,96
126,215
33,145
139,182
83,83
83,146
38,106
38,58
38,22
119,11
20,231
20,211
94,94
4,84
241,141
120,120
69,38
69,227
242,22
178,178
27,83
27,146
216,216
68,263
132,120
242,242
268,127
268,237
113,127
12,146
12,188
12,260
35,178
35,41
244,244
255,237
205,205
254,133
227,98
227,145
227,155
230,33
143,78
189,11
55,76
55,94
85,146
207,263
10,182
101,63
164,164
61,98
28,28
211,133
64,182
237,237
177,177
95,74
188,244
157,185
155,175
217,202
234,175
234,155
34,96
160,201
160,223
160,28
261,98
261,182
176,202
179,103
179,223
179,75
74,74
81,126
81,215
77,57
77,83
267,94
267,99
140,140
18,156
92,166
1,241
107,139
56,98
39,101
60,147
90,214
17,41
95,145
51,171
51,202
51,11
51,22
128,146
100,268
162,162
148,262
258,11
67,133
67,211
142,218
249,202
249,11
217,182
10,10
10,145
136,147
166,166
193,105
0,45
225,162
225,32
87,6
169,188
195,98
52,69
26,147
190,241
190,189
190,141
190,84
108,141
134,83
88,253
88,202
88,83
154,237
8,83
222,83
222,146
222,263
79,217
137,157
124,83
23,127
239,83
209,83
209,9
226,248
224,125
114,139
114,160
172,202
172,110
266,147
266,26
117,232
117,52
118,248
118,57
118,83
118,9
118,249
183,10
31,245
31,103
31,14
31,179
31,97
159,22
159,153
194,72
90,90
130,57
130,69
130,202
130,27
53,83
53,27
53,8
40,202
13,186
15,146
15,141
65,65
210,166
210,75
25,200
262,36
110,57
110,154
104,193
104,0
247,247
150,145
150,93
112,154
243,182
49,154
157,157
219,202
204,70
204,125
222,222
46,160
236,54
220,215
220,220
79,79
111,160
111,0
2,148
170,221
250,133
165,89
165,162
165,225
238,162
151,151
161,10
114,114
3,93
3,150
62,62
71,71
265,74
167,42
167,247
121,12
7,157
173,115
123,5
264,229
86,166
86,79
90,204
228,212
228,112
117,117
251,259
43,133
43,67
43,250
213,36
135,117
191,202
191,122
66,66
82,77
267,267
256,179
187,14
198,198
180,94
116,33
19,94
154,27
154,154
233,208
129,133
129,250
16,214
249,249
249,267
249,206
131,248
131,83
131,192
131,118
91,83
91,88
149,149
29,48
29,138
152,157
196,83
196,146
44,67
109,94
109,202
198,155
73,249
168,168
168,163
24,267
102,223
246,59
37,89
144,245
144,14
135,135
174,171
174,52
203,252
199,97
50,248
47,255
47,42
197,72
30,97
123,29
257,87
158,2
80,80
235,103
