185,185
203,41
19,3
68,68
226,226
129,126
84,83
84,84
13,231
74,12
12,12
163,135
58,135
77,87
94,222
186,83
186,84
183,108
174,174
92,17
78,135
136,10
45,45
223,108
168,27
23,184
172,172
209,209
64,149
102,212
120,140
17,228
131,44
208,140
140,140
230,165
215,84
187,138
187,43
5,4
106,106
33,93
180,111
50,113
0,162
14,154
110,95
145,197
18,162
211,187
152,224
152,37
152,231
57,4
63,140
137,137
177,169
202,221
220,155
220,148
175,31
160,72
114,112
114,98
32,32
146,42
192,34
179,194
179,124
193,27
59,213
59,206
32,217
214,207
214,181
70,47
171,1
225,99
225,57
225,147
139,139
139,75
173,28
210,90
40,10
115,28
24,198
48,48
48,116
132,206
188,196
103,154
54,78
88,28
127,4
127,195
127,90
99,99
150,131
204,46
227,55
227,224
216,216
21,105
199,223
199,100
76,28
76,173
121,32
153,176
157,154
134,17
134,179
39,124
36,8
36,6
25,25
25,189
79,146
79,200
142,89
20,30
26,73
166,48
66,107
35,229
35,87
35,179
205,28
205,117
29,193
40,40
103,103
15,174
15,124
224,224
224,6
119,51
96,135
82,174
82,124
82,99
123,124
123,179
2,147
89,174
89,124
89,89
85,124
52,135
52,42
52,65
38,170
227,227
16,16
80,124
80,179
130,201
53,32
218,218
11,181
109,169
71,174
71,124
71,179
81,44
7,65
191,22
154,154
141,54
104,231
182,91
122,86
144,127
99,147
178,124
159,163
9,213
190,190
97,128
67,200
143,229
143,60
133,133
133,1
101,18
62,69
125,125
61,49
219,196
219,188
127,127
118,164
118,181
118,73
158,167
158,161
158,151
156,56
